"","technical_scale","leadership_scale","likeable_scale","learner_scale","education_scale","experience_scale","pt","age","gender","gender_5_TEXT","employment","role","company_size","experience","roles","industry","industry_12_TEXT","risk_aversion_1","risk_aversion_2","risk_aversion_3","risk_aversion_4","risk_aversion_5","risk_aversion_6","Condition","Iteration","source","rating","applicant_gender","applicant_education","stimuli_number"
"1",9,5,5,7,3,9,4,37,"Man",NA,"Employed full time","IT Support","1,000+ employees","1-2 years","I have hired and recruited for tech support and helpdesk positions.","Technology","",5,6,6,5,2,7,"Man_Nontraditional","Experiment","man_nontrad_1_1",8,"man","nontrad","1_1"
"2",8,7,6,8,6,9,23,39,"Man",NA,"Employed full time","software engineer","1,000+ employees","1-2 years","i am now the lead engineer for my department. I sit in panel interviews for prospective team members.","Professional or business services,Technology","",1,2,1,1,6,3,"Man_Nontraditional","Experiment","man_nontrad_1_1",7,"man","nontrad","1_1"
"3",9,9,6,8,7,8,45,34,"Man",NA,"Employed full time","IT Service Manager","Less than 50 employees","3-5 years","Engineer, technician, accountant, assistant","Technology","",2,6,5,5,6,2,"Man_Nontraditional","Experiment","man_nontrad_1_1",7,"man","nontrad","1_1"
"4",8,5,6,7,8,8,72,38,"Man",NA,"Employed full time","Data Architect","1,000+ employees","3-5 years","Data Engineer, Data Analyst","Other - not listed","Service, Information",3,5,5,5,5,3,"Man_Nontraditional","Experiment","man_nontrad_1_1",8,"man","nontrad","1_1"
"5",9,10,10,8,9,9,101,33,"Man",NA,"Employed full time","senior","50-100 employees","3-5 years","new staff members","Agriculture, mining, or construction,Professional or business services","",5,6,7,7,5,6,"Man_Nontraditional","Experiment","man_nontrad_1_1",10,"man","nontrad","1_1"
"6",9,9,10,9,9,9,131,28,"Man",NA,"Employed full time","Engineering Supervisor","100-500 employees","3-5 years","Applications Engineer","Professional or business services","",1,6,6,5,1,2,"Man_Nontraditional","Experiment","man_nontrad_1_1",9,"man","nontrad","1_1"
"7",10,8,9,9,10,10,151,29,"Man",NA,"Employed full time","IT Manager","1,000+ employees","3-5 years","Pretty much everything.","Technology","",1,5,7,2,7,3,"Man_Nontraditional","Experiment","man_nontrad_1_1",10,"man","nontrad","1_1"
"8",8,6,8,6,7,7,164,58,"Man",NA,"Employed full time","Technical Sales Specialist ","50-100 employees","Less than 1 year","Customer Support Representatives ","Health","",2,5,4,4,6,3,"Man_Nontraditional","Experiment","man_nontrad_1_1",7,"man","nontrad","1_1"
"9",9,7,8,9,9,9,193,34,"Man",NA,"Employed full time","Finance Manager","1,000+ employees","1-2 years","Corporate Finance","Financial or information","",5,6,5,6,3,5,"Man_Nontraditional","Experiment","man_nontrad_1_1",9,"man","nontrad","1_1"
"10",9,5,6,6,9,9,211,52,"Man",NA,"Employed full time","Web Developer","Less than 50 employees","1-2 years","Hiring for programmers and developers.","Financial or information,Retail,Technology","",5,6,7,5,5,5,"Man_Nontraditional","Experiment","man_nontrad_1_1",9,"man","nontrad","1_1"
"11",6,8,7,7,1,7,222,32,"Man",NA,"Employed full time","Lead Software Engineer","1,000+ employees","10+ years","Software engineering","Technology","",5,6,6,6,3,6,"Man_Nontraditional","Experiment","man_nontrad_1_1",3,"man","nontrad","1_1"
"12",5,5,5,5,6,6,250,27,"Man",NA,"Employed full time","Owner","Less than 50 employees","1-2 years","Research Analyst","Technology","",3,5,5,4,4,3,"Man_Nontraditional","Experiment","man_nontrad_1_1",6,"man","nontrad","1_1"
"13",4,4,4,4,6,3,263,37,"Man",NA,"Employed full time","Leader","1,000+ employees","5-10 years","Numerous engineering positions","Agriculture, mining, or construction","",3,5,2,5,5,2,"Man_Nontraditional","Experiment","man_nontrad_1_1",3,"man","nontrad","1_1"
"14",7,7,8,7,6,7,285,65,"Woman",NA,"Employed full time","Data Analyst","500-1,000 employees","5-10 years","software engineer, data analyst","Health,Technology","",3,5,3,3,6,4,"Man_Nontraditional","Experiment","man_nontrad_1_1",7,"man","nontrad","1_1"
"15",7,6,8,6,7,7,299,32,"Man",NA,"Employed full time","IT Manager","Less than 50 employees","3-5 years","IT support, frontend devs, backend devs.","Technology","",3,6,5,2,5,4,"Man_Nontraditional","Experiment","man_nontrad_1_1",7,"man","nontrad","1_1"
"16",8,7,6,8,6,9,23,39,"Man",NA,"Employed full time","software engineer","1,000+ employees","1-2 years","i am now the lead engineer for my department. I sit in panel interviews for prospective team members.","Professional or business services,Technology","",1,2,1,1,6,3,"Man_Nontraditional","Experiment","man_nontrad_2_1",8,"man","nontrad","2_1"
